,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
1851,Pokkhirajer Dim,"Pokkhirajer Dim (Bengali: পক্ষীরাজের ডিম, lit. 'The Celestial Egg') is a 2025 Indian Bengali-language science-fantasy comedy film directed by Soukarya Ghosal and produced by Jio Studios and SVF Entertainment. Serving as a thematic sequel to Ghosal's 2018 film Rainbow Jelly, it stars Anirban Bhattacharya as Batabyal, an eccentric mathematics teacher, alongside Mahabrata Basu as Ghoton, a struggling student determined to master mathematics, and Anumegha Banerjee reprising her role as Poppins, the only friend Ghoton has in life and Alexx O'Nell portrays the antagonist, British archaeologist Mr. Villain. Set in the fictional village of Akashgunj, the narrative blends Bengali folklore with science fiction elements, theoretically based on Einstein’s famous general theory of relativity, which shows light doesn’t travel in a straight line in space.",Soukarya Ghosal,,"Jyoti Deshpande, Shrikant Mohta, Mahendra Soni","Anirban Bhattacharya, Mahabrata Basu, Anumegha Banerjee, Alexx O'Nell",Soumik Haldar,Sanglap Bhowmik,13 June 2025,India,Bengali
1852,Pongala,"Pongala is a 2025 Indian Malayalam language action revenge film, written and directed by A B Binil. The film stars Sreenath Bhasi in lead role and the film was released on 5 December 2025.[1][2][3]",A B Binil,,"Deepu Bose, Anil Pillai",Sreenath Bhasi,Jackson,Ajas Pukkadan,5 December 2025,India,Malayalam
1853,Ponman,"Ponman (transl. Kingfisher; lit. 'Gold man') is a 2025 Indian Malayalam-language black comedy thriller film directed by Jothish Shankar. The film stars Basil Joseph, Sajin Gopu, Lijomol Jose, Anand Manmadhan and Deepak Parambol and is based on the novel Naalanchu Cheruppakar (transl. ""Four or five young men"") penned by GR Indugopan.",Jotish Shankar,"G. R. Indugopan, Justin Mathew",Vinayaka Ajith,"Basil Joseph, Sajin Gopu, Lijomol Jose, Anand Manmadhan, Deepak Parambol",Sanu John Varghese,Nidhin Raj Arol,30 January 2025,India,Malayalam
1854,Pools,"Pools is a 2025 American coming of age film directed by Sam Hayes in his debut feature film.[5][6] The film stars Odessa A'zion, Ariel Winter, Tyler Alvarez, Michael Vlamis, Francesca Noel and Suzanne Cryer.[7] The film has received mixed reviews.[8][9]",Sam Hayes,Sam Hayes,"Sam Hayes, Jack Heston, Seth Savoy, Adonis Tountas, Mike D. Ware","Odessa A'zion, Ariel Winter, Tyler Alvarez, Mason Gooding, Michael Vlamis, Francesca Noel, Suzanne Cryer",Ben Hardwicke,Tucker Marolf,"April 12, 2025(TIFF)12",United States,English
1855,Background shading indicates that a film is currently showing in theatres worldwide.,This is a list of Tamil language films produced in the Tamil cinema in India that were released in 2025.,,,,,,,,,
1856,Popeye the Slayer Man,"Popeye the Slayer Man is a 2025 American slasher film screenplayed by John Doolan and directed by Robert Michael Ryan.[1][2][3] It stars Jason Robert Stephens, Sarah Nicklin, Mabel Thomas, Sean Michael Conway, Angela Relucio, and Scott Swope.[4][5] The film serves as a horror retelling of E. C. Segar's Popeye.[6]",Robert Michael Ryan,,"Alyssa Blasetti, Cuyle Carvin, Jeff Miller, Robert Michael Ryan, Nathan Todaro, Alexander Tucker","Jason Robert Stephens, Sean Michael Conway, Elena Juliano, Mabel Thomas, Marie-Louise Boisnier, Jeff Thomas, Steven McCormack, Clayton Turner, Paul Konye, Richard Lounello",Korey Nowe,,"March 21, 2025",United States,English
1857,Popeye's Revenge,"The film is one of three live-action horror films featuring Popeye that were released in 2025 after the character entered the public domain in the United States: the other two are Popeye the Slayer Man and Shiver Me Timbers. Popeye's Revenge was produced by ITN Studios that also produced the Twisted Childhood Universe films, though it does not take place in the same cinematic universe.[7]",William Stead,Harry Boxley,Rene August,"Steven Murphy, Emily Mogilner, Connor Powles, Danielle Ronald, Bruno Cryan",,,"February 13, 2025(United States)",United Kingdom,English
1858,The Portuguese House,"The Portuguese House (Spanish: Una quinta portuguesa;[1] Portuguese: A Quinta) is a 2025 drama film written and directed by Avelina Prat. It stars Manolo Solo, Maria de Medeiros, and Branka Katić. It is a Spanish and Portuguese co-production.",Avelina Prat,Avelina Prat,"Miriam Porté, Luís Urbano, Miguel Molina, Adán Aliaga","Manolo Solo, Maria de Medeiros, Branka Katić, Rita Cabaço",Santiago Racaj,Juliana Montañés,17 March 2025(Málaga),"Spain, Portugal","Spanish, Portuguese"
1859,Pose,"On October 31, 2023, a thriller film starring James McAvoy, Lucas Bravo, Aisling Franciosi and Almudena Amor, was announced. Shooting for the project began the following month in the United Kingdom.[2][3][4]",Jamie Adams,Jamie Adams,"Shaun Sanghani, Cara Shine Ballarini, Rebecca Miller","James McAvoy, Lucas Bravo, Leila Farzad, Almudena Amor, Aisling Franciosi",Jan Vrhovnik,Matt Platts-Mills,"November 12, 2025(TBNFF)","United States, United Kingdom",English
1860,Posthouse,"A father and his daughter work together on an unfinished silent film, unintentionally unleashing a monster in the process.",Nikolas Red,"Nikolas Red, Jericho Aguado, Kenneth Dagatan","Vincent Del Rosario III, Valerie S. Del Rosario, Veronique Del Rosario-Corpus, Iana Bernardez","Sid Lucero, Bea Binene",Steven Evangelio,Nikolas Red,"August 20, 2025",Philippines,Filipino
1861,Pothugadda,"Pothugadda is a 2025 Indian Telugu-language political drama film written and directed by Raksha Veeram.[1] The film portrays Shatru, Aadukalam Naren, Prudhvi Dandamudi and Vismaya Sri in the lead roles.[2] Under the technical department, the film's cinematography was handled by Rahul Shrivatsav, the editing completed under SJ Shivakiran's leadership, whereas the songs and the background score were composed by Shravan Bharadwaj and Marcus M respectively.",Raksha Veeram,Raksha Veeram,"Anupama Chandra Koduri, G. Sharath Chandra Reddy","Shatru, Aadukalam Naren, Prudhvi Dandamudi, Vismaya Sri",Rahul Shrivatsav,SJ Shivakiran,30 January 2025,India,Telugu
1862,Pralayashesham Oru Jalakanyaka,"Pralayashesham Oru Jalakanyaka is a 2025 Malayalam language film written and directed by Manoju Kumar[1] featuring Asha Aravind, Renjith Lalitham, Anagha Maria Varghese and Arjun Ambat in the lead roles.[2][3][4]",Manoju Kumar,Manoju Kumar,Kerala State Film Development Corporation,"Asha Aravind, Renjith Lalitham, Anagha Maria Varghese, Arjun Ambat",Harikrishnan Lohithadas,Mendos Antony,7 March 2025,India,Malayalam
1863,Pravas,"Pravas (Gujarati: પ્રવાસ) is a 2025 Indian Gujarati family drama film directed and written by Vipul Sharma and produced by Jay Pandya and Rakesh Shah.[2] It stars Vishal Thakkar, Jay Pandya, Komal Panchal, Nishma Soni and others. It was released on 7 November 2025.[1][3]",Vipul Sharma,Vipul Sharma,"Jay Pandya, Rakesh Shah","Vishal Thakkar, Jay Pandya, Komal Panchal, Nishma Soni",Sreekumar Nair,Amit k. Kaushik,7 November 2025,India,Gujarati
1864,Pravinkoodu Shappu,"Pravinkoodu Shappu (transl. Pravinkoodu toddy shop) is a 2025 Indian Malayalam-language black comedy crime thriller film written and directed by Sreeraj Sreenivasan (in his directorial debut).[4] It was produced by Anwar Rasheed through Anwar Rasheed Entertainment. The film stars Soubin Shahir, Basil Joseph and Chemban Vinod Jose, with Chandini Sreedharan, Shivajith, and Shabareesh Varma in supporting roles.[5]",Sreeraj Sreenivasan,Sreeraj Sreenivasan,Anwar Rasheed,"Soubin Shahir, Basil Joseph, Chemban Vinod Jose",Shyju Khalid,Shafique Mohamed Ali,16 January 2025,India,Malayalam
1865,Predator: Badlands,"Predator: Badlands is a 2025 American science fiction action film directed by Dan Trachtenberg and written by Patrick Aison from a story by Trachtenberg and Aison. It is the seventh installment in the Predator franchise and stars Elle Fanning and Dimitrius Schuster-Koloamatangi in leading roles. The story follows Dek, a young exiled Yautja, who crash-lands on a hostile planet and must prove himself worthy of the hunt by killing an apex predator, leading him to form an alliance with Thia, a Weyland-Yutani Corporation android.",Dan Trachtenberg,,"John Davis, Brent O'Connor, Marc Toberoff, Dan Trachtenberg, Ben Rosenblatt","Elle Fanning, Dimitrius Schuster-Koloamatangi",Jeff Cutter,"Stefan Grube, David Trachtenberg","November 3, 2025(TCL Chinese Theatre)",United States,English
1866,Predator: Killer of Killers,"Predator: Killer of Killers is a 2025 American adult animated science fiction action film directed by Dan Trachtenberg from a screenplay by Micho Robert Rutare, based on a story by Trachtenberg and Rutare. It is the sixth installment in the Predator film series and its first animated installment.",Dan Trachtenberg,,"John Davis, Dan Trachtenberg, Marc Toberoff, Ben Rosenblatt","Lindsay LaVanchy, Louis Ozawa, Rick Gonzalez, Michael Biehn",,Stefan Grube,"June 6, 2025",United States,"English, Japanese, Old Norse, Spanish"
1867,Predators,"Predators is a 2025 documentary film produced and directed by David Osit. It follows the rise and fall of the reality television program To Catch a Predator, which aired on NBC from 2004 to 2007.[3]",David Osit,,"Kellen Quinn, Jamie Gonçalves, David Osit",,David Osit,"David Osit, Nicolás Nørgaard Staffolani","January 25, 2025(Sundance)",United States,English
1868,Premachi Goshta 2,"Premachi Goshta 2 is an Indian Marathi-language romantic film directed by Satish Rajwade and written by Abhijeet Guru.[1] The film stars Lalit Prabhakar, Ridhima Pandit,  Rucha Vaidya, Swapnil Joshi, and Bhau Kadam in lead roles.[2] The film was released on 21 October 2025 in theatres, coinciding Diwali.[3]",Satish Rajwade,Abhijeet Guru,"Sanjay Chhabria, Amit Bhanushali","Lalit Prabhakar, Ridhima Pandit, Rucha Vaidya, Swapnil Joshi, Bhau Kadam",Prasad Bhende,Faisal Mahadik,21 October 2025,India,Marathi
1869,Premaku Jai,"Premaku Jai  is a 2025 Telugu language film directed by Srinivas Mallam[1] produced by T. Anasurya.Main lead is Anil Burugani, Jwalitha Ravuri, Bhaskar Dubbaka, Anand Bharathi and Jabardasth Saddam. Music scored by Kotagiri Chaitu.",Srinivas Mallam,Srinivas Mallam,T. Anasurya,"Anil Burugani, Jwalitha Ravuri, Bhaskar Dubbaka, Anand Bharathi, Jabardasth Saddam",S Urukunda Reddy,Samrat Yadav,11 April 2025,India,Telugu
1870,Premante,Premante was released in theatres on 21 November 2025.,Navaneeth Sriram,"Navaneeth Sriram, Karthik Thupurani (dialogues), Raj Kumar Kusuma (dialogues)","Jhanvi Narang, Puskur Ram Mohan Rao","Priyadarshi Pulikonda, Anandhi",Vishwanath Reddy,Raghavendra Thirun,21 November 2025,India,Telugu
1871,Premistunnaa,Premistunnaa is a 2025 Indian Telugu-language romantic drama film written and directed by Bhanu Shankar.[1] The film stars Sathvik Varma and Preethi Neha in lead roles.[2],Bhanu Shankar,Bhanu Shankar,Kanaka Durga Rao Pappula,"Sathvik Varma, Preethi Neha",Samala Bhasker,Sirish Prasad,7 November 2025,India,Telugu
1872,Prep & Landing: The Snowball Protocol,"Prep & Landing: The Snowball Protocol is an American animated television special, produced by Disney Television Animation, and directed by Shane Zalvin, from a screenplay by Hilary Heldin. It premiered on November 27, 2025, on Disney Channel, and the following day on Disney+. The special is the third 22-minute Christmas special, and the fifth short film in the Prep & Landing series, after Prep & Landing, Tiny's Big Adventure, Operation: Secret Santa, and Naughty vs. Nice. It stars Dave Foley, Derek Richardson, Sarah Chalke, Manny Jacinto, Dulcé Sloan, Danny Pudi, and Christopher Swindle.",,,,,,,,,
1873,Preparation for the Next Life,"It was released on September 5, 2025, by Amazon MGM Studios.",Bing Liu,,"Dede Gardner, Jeremy Kleiner, Adele Romanski, Barry Jenkins, Mark Ceryak","Sebiye Behtiyar, Fred Hechinger",Ante Cheng,Anne McCabe,"September 5, 2025",United States,English
1874,The President's Cake,"The President's Cake (Arabic: مملكة القصب) is a 2025 drama film written and directed by Hasan Hadi. It stars Baneen Ahmad Nayyef, Sajad Mohamad Qasem, Waheed Thabet Khreibat and Rahim AlHaj.",Hasan Hadi,Hasan Hadi,Leah Chen Baker,"Baneen Ahmad Nayyef, Sajad Mohamad Qasem, Waheed Thabet Khreibat, Rahim AlHaj",Tudor Vladimir Panduru,Andu Radu,"May 16, 2025(Cannes)","Iraq, Qatar, United States","Arabic (, Iraqi dialect, )"
1875,Pretty Crazy,"Pretty Crazy[4] (Korean: 악마가 이사왔다;[5] formerly titled 2 O'Clock Date (Korean: 2시의 데이트; RR: 2siui deiteu)) is a 2025 South Korean romantic comedy film directed by Lee Sang-geun, starring Lim Yoona and Ahn Bo-hyun. It tells the story of a woman from downstairs having an unimaginable secret, meeting the man from upstairs at 2 a.m., and having an extraordinary date, when everyone else in the building is asleep.[6] The film was released in South Korea on August 13, 2025.[7]",Lee Sang-geun,Lee Sang-geun,"Kang Hye-jung, Ryoo Seung-wan, Jo Sung-min","Lim Yoona, Ahn Bo-hyun, Sung Dong-il, Joo Hyun-young",Kim Il-yeon,Lee Kang-hee,"August 13, 2025",South Korea,Korean
1876,Pretty Thing,"Pretty Thing is a 2025 American erotic thriller film directed by Justin Kelly, written by Jack Donnelly, and starring Alicia Silverstone, Karl Glusman, Tammy Blanchard, and Catherine Curtin.",Justin Kelly,Jack Donnelly,"Jordan Yale Levine, Jordan Beckerman, Jesse Korman, Scott Levenson, Lexi Tannenholtz","Alicia Silverstone, Karl Glusman, Tammy Blanchard, Catherine Curtin",Matt Klammer,Justin Kelly,"July 4, 2025",United States,English
1877,Primate,"Primate is a 2025 American natural horror film about an adopted chimpanzee who gets rabies and becomes violent. It is directed and co-written by Johannes Roberts, who also co-wrote the screenplay with Ernest Riera. It stars Johnny Sequoyah, Jessica Alexander, Victoria Wyant, Gia Hunter, Benjamin Cheng, and Troy Kotsur.",Johannes Roberts,"Johannes Roberts, Ernest Riera","Walter Hamada, John Hodges, Bradley Pilz","Johnny Sequoyah, Jessica Alexander, Victoria Wyant, Gia Hunter, Benjamin Cheng, Troy Kotsur","Stephen Murphy, [, 1, ]",Peter Gvozdas,"September 18, 2025(Fantastic Fest)",United States,English
1878,Primavera,"Primavera is a 2025 drama directed by Damiano Michieletto in his feature directorial debut, and written by Ludovica Rampoldi based on the 2009 novel Stabat Mater [it] by Tiziano Scarpa. It stars Tecla Insolia and Michele Riondino. The film had its world premiere in the Special Presentations section of the 50th Toronto International Film Festival on 6 September 2025.",Damiano Michieletto,,"Carlotta Calori, Nicola Giuliano, Francesca Cima, Viola Prestieri","Tecla Insolia, Michele Riondino, Andrea Pennacchi, Fabrizia Sacchi, Valentina Bellè, Stefano Accorsi",Daria D'Antonio,Walter Fasano,6 September 2025(TIFF),"Italy, France",Italian
1879,Prime Minister,"Prime Minister is a 2025 documentary film about Jacinda Ardern, the prime minister of New Zealand from 2017 to 2023.[4] The film is directed by Lindsay Utz and Michelle Walshe. It premiered in January 2025 at the Sundance Film Festival.[5]","Michelle Walshe, Lindsay Utz",,"Cass Avery, Leon Kirkbeck, Clarke Gayford, Gigi Pritzker, Rachel Shane, Katie Peck",Jacinda Ardern,"Clarke Gayford, Leon Kirkbeck, Thorsten Thielow","Grace Zahrah, Enat Sidi",24 January 2025(Sundance),"United States, New Zealand, [, 2, ]",English
1880,Primitive War,"Primitive War is a 2025 Australian science fiction action horror film directed by Luke Sparke and based on the 2017 novel of the same name by Ethan Pettus, who both co-wrote the script for film.[4] Starring Ryan Kwanten, Tricia Helfer, Nick Wechsler and Jeremy Piven, the film is set in a Vietnam jungle valley during 1968 and follows a reconnaissance unit who carries out a rescue mission for a US Army Special Forces platoon and are attacked by de-extinct dinosaurs.",Luke Sparke,"Ethan Pettus, Luke Sparke","Carmel Imrie, Carly Sparke, Luke Sparke","Ryan Kwanten, Tricia Helfer, Nick Wechsler, Jeremy Piven",Wade Muller,Luke Sparke,11 August 2025(Sydney),Australia,English
1881,Prince and Family,"Prince and Family is a 2025 Indian Malayalam-language comedy drama film directed by Binto Stephen (in his directorial debut) and written by Sharis Mohammed. The film was produced by Listin Stephen through Magic Frames.[3] It stars Dileep, Raniya Raanaa, Dhyan Sreenivasan, Siddique, Bindu Panicker, Johny Antony, Manju Pillai and Josekutty Jacob in the lead roles.The film was 150th film of Dileep.[4]",Binto Stephen,Sharis Mohammed,Listin Stephen,"Dileep, Raniya Raanaa, Dhyan Sreenivasan, Siddique, Johny Antony, Bindu Panicker, Josekutty Jacob",Renadive,Sagar Dass,9 May 2025,India,Malayalam
